latitude,longitude,name,color
33.967529958,-81.0372313124,,#FFF00
33.9683064019,-81.0376569482,,#FFF00
33.9685181593,-81.0378272025,,#FFF00
33.9688005026,-81.038082584,,#FFF00
33.96901226,-81.0382528383,,#FFF00
33.9692593103,-81.0385082198,,#FFF00
33.9695063607,-81.0386784741,,#FFF00
33.9697181181,-81.038891292,,#FFF00
33.9698945826,-81.0391041099,,#FFF00
33.9700004614,-81.0391892371,,#FFF00
33.9701769259,-81.039402055,,#FFF00
33.9701769259,-81.039402055,,#FFF00
33.9702828046,-81.0394871821,,#FFF00
33.9704592691,-81.0396574364,,#FFF00
33.9705298549,-81.0397,,#FFF00
33.9707063195,-81.0399128179,,#FFF00
33.9708121982,-81.0399979451,,#FFF00
33.9709886627,-81.0401681994,,#FFF00
33.9710592485,-81.0402533265,,#FFF00
33.9710239556,-81.0402533265,,#FFF00
33.9712357131,-81.0404661444,,#FFF00
33.9713415918,-81.0405512716,,#FFF00
33.9715180563,-81.0407640895,,#FFF00
33.971623935,-81.0408492166,,#FFF00
33.9718003995,-81.0410620345,,#FFF00
33.9718356924,-81.0411471617,,#FFF00
33.9718356924,-81.0411471617,,#FFF00
33.972012157,-81.041317416,,#FFF00
33.972012157,-81.041317416,,#FFF00
33.9721886215,-81.0414876703,,#FFF00
33.9723297931,-81.0416153611,,#FFF00
33.9725062576,-81.041828179,,#FFF00
33.9726827222,-81.0419984333,,#FFF00
33.9729297725,-81.0421686876,,#FFF00
33.9729297725,-81.0421686876,,#FFF00
33.9732474087,-81.0424240691,,#FFF00
33.973494459,-81.0425943234,,#FFF00
33.9738120952,-81.0428922684,,#FFF00
33.9740591455,-81.0430199592,,#FFF00
33.9740591455,-81.0430199592,,#FFF00
33.9743414887,-81.0433179042,,#FFF00
33.9745885391,-81.043445595,,#FFF00
33.9749061752,-81.04374354,,#FFF00
33.9751532256,-81.0438712308,,#FFF00
33.9754002759,-81.0441266122,,#FFF00
33.9754355688,-81.0440840487,,#FFF00
33.9751885185,-81.0438286672,,#FFF00
33.9749414681,-81.0436584129,,#FFF00
33.974623832,-81.0434030314,,#FFF00
33.9744120745,-81.0432327771,,#FFF00
33.9740944384,-81.042934832,,#FFF00
33.9740944384,-81.0429773956,,#FFF00
33.9738473881,-81.0428071413,,#FFF00
33.9735297519,-81.0425517598,,#FFF00
33.9732827016,-81.0423389419,,#FFF00
33.9729650654,-81.0420835604,,#FFF00
33.9730003583,-81.0420409969,,#FFF00
33.9727886009,-81.0418707425,,#FFF00
33.9726121364,-81.0417430518,,#FFF00
33.9724003789,-81.0414876703,,#FFF00
33.9722945002,-81.0413599796,,#FFF00
33.9720827428,-81.0411471617,,#FFF00
33.9720827428,-81.0411897253,,#FFF00
33.9719062783,-81.041019471,,#FFF00
33.9719062783,-81.041019471,,#FFF00
33.9719062783,-81.0409769074,,#FFF00
33.9716945208,-81.0407215259,,#FFF00
33.971623935,-81.0406363988,,#FFF00
33.9714121776,-81.0404235809,,#FFF00
33.9713415918,-81.0403384537,,#FFF00
33.9711298343,-81.0401256358,,#FFF00
33.9711298343,-81.0401256358,,#FFF00
33.9710945414,-81.0400830722,,#FFF00
33.970882784,-81.0398702543,,#FFF00
33.9708121982,-81.0397851272,,#FFF00
33.9706004408,-81.0395723093,,#FFF00
33.9705651478,-81.0395297457,,#FFF00
33.9703533904,-81.0393594914,,#FFF00
33.9702828046,-81.0392743642,,#FFF00
33.9702828046,-81.0392743642,,#FFF00
33.9700710472,-81.0390615463,,#FFF00
33.9700004614,-81.0389764192,,#FFF00
33.9697887039,-81.0387636013,,#FFF00
33.9695769465,-81.0385507834,,#FFF00
33.9693651891,-81.0383805291,,#FFF00
33.9690828458,-81.0381251476,,#FFF00
33.9688710884,-81.0379548933,,#FFF00
33.9685887451,-81.0376995118,,#FFF00
33.9683769877,-81.0375292575,,#FFF00
33.967529958,-81.0370610581,,#FFF00
33.967529958,-81.0370610581,,#FFF00
33.9672829076,-81.0370184945,,#FFF00
33.9667535141,-81.0369759309,,#FFF00
33.9665417566,-81.0369333674,,#FFF00
33.9664358779,-81.0369333674,,#FFF00
33.9662594134,-81.0368056766,,#FFF00
33.9661535347,-81.0367631131,,#FFF00
33.9659770701,-81.0366779859,,#FFF00
33.9658358985,-81.0366354223,,#FFF00
33.965659434,-81.0365502952,,#FFF00
33.9654476766,-81.0364226044,,#FFF00
33.9652359191,-81.0363800408,,#FFF00
33.9652359191,-81.0362949137,,#FFF00
33.9654476766,-81.0363374773,,#FFF00
33.965659434,-81.036465168,,#FFF00
33.9658711914,-81.0365502952,,#FFF00
33.9659770701,-81.0365928587,,#FFF00
33.9661888276,-81.0366779859,,#FFF00
33.9662594134,-81.0367205495,,#FFF00
33.9664711708,-81.0368482402,,#FFF00
33.9665417566,-81.0368482402,,#FFF00
33.9667535141,-81.0368908038,,#FFF00
33.9673182005,-81.0368908038,,#FFF00
33.967529958,-81.0369333674,,#FFF00
33.967529958,-81.0369333674,,#FFF00
33.9684122806,-81.0374441303,,#FFF00
33.968624038,-81.0376143846,,#FFF00
33.9689063813,-81.0378697661,,#FFF00
33.9691181387,-81.0380400204,,#FFF00
33.969400482,-81.0382954019,,#FFF00
33.9696122394,-81.0384656562,,#FFF00
33.9698239968,-81.0386784741,,#FFF00
33.9700357543,-81.038891292,,#FFF00
33.9701063401,-81.0389764192,,#FFF00
33.9703180975,-81.0391892371,,#FFF00
33.9703180975,-81.0391892371,,#FFF00
33.9703886833,-81.0392743642,,#FFF00
33.9706004408,-81.0394446185,,#FFF00
33.9706357337,-81.0394871821,,#FFF00
33.9708474911,-81.0397,,#FFF00
33.9709180769,-81.0397851272,,#FFF00
33.9711298343,-81.0399979451,,#FFF00
33.9711651272,-81.0400405086,,#FFF00
33.9711651272,-81.0400405086,,#FFF00
33.9713768847,-81.0402533265,,#FFF00
33.9714474705,-81.0403384537,,#FFF00
33.9716592279,-81.0405512716,,#FFF00
33.9717298137,-81.0406363988,,#FFF00
33.9719415712,-81.0408917802,,#FFF00
33.9719415712,-81.0409343438,,#FFF00
33.9719415712,-81.0409343438,,#FFF00
33.9721533286,-81.0411045981,,#FFF00
33.9721180357,-81.0410620345,,#FFF00
33.9723297931,-81.0412748524,,#FFF00
33.9724356718,-81.0414025432,,#FFF00
33.9726474293,-81.0416579247,,#FFF00
33.9728238938,-81.0417856154,,#FFF00
33.9730356512,-81.0419558697,,#FFF00
33.9730356512,-81.0419558697,,#FFF00
33.9733885803,-81.0422112512,,#FFF00
33.9736003377,-81.0423815055,,#FFF00
33.9739532668,-81.0426794506,,#FFF00
33.9741650242,-81.0428071413,,#FFF00
33.9741650242,-81.0428071413,,#FFF00
33.9744826604,-81.0431050863,,#FFF00
33.9746944178,-81.0432327771,,#FFF00
33.9750473468,-81.0435307221,,#FFF00
33.9752591043,-81.0436584129,,#FFF00
33.9755414475,-81.0439137943,,#FFF00
33.9755061546,-81.0439989215,,#FFF00
33.9752238114,-81.04374354,,#FFF00
33.9750120539,-81.0436158493,,#FFF00
33.9746591249,-81.0433179042,,#FFF00
33.9744473675,-81.0431902135,,#FFF00
33.9741297313,-81.0428922684,,#FFF00
33.9741297313,-81.0428922684,,#FFF00
33.9739179739,-81.0427645777,,#FFF00
33.9735650448,-81.0424666327,,#FFF00
33.9733532874,-81.0422963783,,#FFF00
33.9730003583,-81.0420409969,,#FFF00
33.9729650654,-81.042126124,,#FFF00
33.9727180151,-81.0419133061,,#FFF00
33.9725415506,-81.0417856154,,#FFF00
33.972365086,-81.0415727975,,#FFF00
33.9722239144,-81.0414025432,,#FFF00
33.9720474499,-81.0412322889,,#FFF00
33.9720474499,-81.0412322889,,#FFF00
33.9718709854,-81.0411045981,,#FFF00
33.9718709854,-81.0410620345,,#FFF00
33.9718356924,-81.041019471,,#FFF00
33.9716592279,-81.0408066531,,#FFF00
33.9715533492,-81.0406789623,,#FFF00
33.9713768847,-81.040508708,,#FFF00
33.971271006,-81.0403810173,,#FFF00
33.9710945414,-81.040210763,,#FFF00
33.9710945414,-81.0401681994,,#FFF00
33.9710239556,-81.0401256358,,#FFF00
33.9708474911,-81.0399553815,,#FFF00
33.9707416124,-81.0398276907,,#FFF00
33.9705651478,-81.0396574364,,#FFF00
33.970494562,-81.0395723093,,#FFF00
33.9703180975,-81.0394446185,,#FFF00
33.9702122188,-81.0393169278,,#FFF00
33.9702475117,-81.0393169278,,#FFF00
33.9700357543,-81.0391041099,,#FFF00
33.9699298755,-81.0390189827,,#FFF00
33.969753411,-81.0388061649,,#FFF00
33.9695416536,-81.038593347,,#FFF00
33.9693298962,-81.0384230926,,#FFF00
